Image ID	Heuristic	turbo L3	turbo heuristic L3	turbo table L3	turbo heuristic + table L3	VL-T5-datatable	VL-T5-scenegraph	Chart type	Notes
614		label error, identity error, value error	deceptive error	label error		missing context	identity error, repetition, missing context	bar	errors in heuristic alt text tend not to be corrected by Gpt4-tubro when passed in the prompt
616						missing context	missing context	line	
617	trend error	trend error		value error, identity error, deceptive error		missing context	grammar error, value error	bar	vlt5 scenegraph mentions value
634				trend error		missing context	missing context	line	
668	chart type error		chart type error		chart type error	missing context	trend error, missing context	area	
681		value error				missing context	missing context	line	
690		label error, deceptive error, trend error	label error			missing context, nonsense error	missing context, identity error, nonsense error	bar	
706		deceptive error, label error, identity error		label error, cutoff	cutoff	missing context	axis error, repetition, nonsense error, missing context	bar	
741	chart type error	trend error, identity error	chart type error		chart type error, cutoff, unecessary context	missing context, trend error	missing context, trend error	area	
753		trend error, identity error		identity error	nonsense error, cutoff	missing context, trend error	missing context, trend error	area	
762	chart type error	identity error		deceptive error		missing context, trend error	missing context, trend error	area	
765	identity error, trend error	deceptive error	identity error, trend error, deceptive error		trend error	missing context, deceptive error	missing context	bar	
780	identity error	identity error	identity error, trend error	identity error, nonsense error	identity error, trend error	missing context, trend error	missing context, trend error	bar	
781		identity error, trend error				missing context, deceptive error	missing context	bar	
782	chart type error	deceptive error, value error	chart type error			missing context, trend error	missing context, trend error	area	
783	chart type error	trend error	chart type error		chart type error	missing context	missing context	area	
787		value error, grammar error			nonsense error, unecessary context	missing context, trend error	value error, trend error	line	vlt5 scenegraph mentions value
797			unecessary context			missing context, trend error	missing context, trend error	line	
824	chart type error	value error	deceptive error		chart type error	missing context	missing context	area	
825	repetition, trend error, chart type error	missing context	chart type error	missing context	chart type error	missing context	missing context	area	
831	chart type error	missing context			chart type error, deceptive error	missing context	missing context	area	
845		chart type error, axis error		missing context		missing context	missing context	bar	
856	chart type error	value error	chart type error	nonsense error	chart type error	missing context	missing context	area	
867	chart type error, trend error	identity error, trend error, value error	chart type error		chart type error, nonsense error	missing context	missing context	area	
869	chart type error		chart type error	deceptive error	chart type error	missing context	missing context	area	
